cnae95_classe,cnae20_classe,grupo_codigo
34100,29107,291
34207,29204,292
34320,29301,293
34398,29301,293
34410,29417,294
34428,29425,294
34436,29433,294
34444,29441,294
34495,29492,294
34509,29506,295
35211,30318,303
35220,30326,303
35238,33155,331
35327,33163,331
35912,30911,309
35920,30920,309
35998,30997,309
36145,31047,310
36919,32116,321
36927,32205,322
36935,32302,323
36951,32990,329
36960,32990,329
36978,32914,329
37109,38319,383
40118,35115,351
40126,35123,351
40134,35131,351
40142,35140,351
40207,35204,352
40304,35301,353
41009,36006,360
45233,42120,421
45314,42219,422
45330,42219,422
45420,43223,432
45438,43223,432
45497,43291,432
50300,45307,453
50423,45439,454
51110,46117,461
51128,46125,461
51136,46133,461
51144,46141,461
51152,46150,461
51160,46168,461
51179,46176,461
51195,46192,461
51225,46231,462
51314,46311,463
51322,46320,463
51330,46338,463
51349,46346,463
51357,46346,463
51365,46354,463
51373,46362,463
51438,46435,464
51446,46494,464
51462,46460,464
51470,46478,464
51497,46494,464
51527,46893,468
51551,46877,468
51616,46613,466
52116,47113,471
52124,47113,471
52132,47121,471
52140,47296,472
52159,47130,471
52213,47211,472
52221,47211,472
52230,47229,472
52248,47237,472
52310,47555,475
52329,47814,478
52337,47822,478
52469,47610,476
52477,47849,478
52507,47857,478
52620,47903,479
52698,36006,360
52728,95291,952
52795,95291,952
55131,55108,551
55190,55906,559
55212,56112,561
55220,56112,561
55239,56201,562
55247,56201,562
55298,56121,561
60216,49124,491
60224,49124,491
60232,49213,492
60267,49302,493
60275,49302,493
60305,49400,494
61123,50122,501
61220,50211,502
61239,50912,509
62308,51307,513
63118,52125,521
63126,52117,521
64114,53105,531
64122,53202,532
65102,64107,641
65218,64212,642
65226,64221,642
65234,64239,642
65242,64247,642
65315,64310,643
65323,64328,643
65331,64336,643
65340,64352,643
65358,64361,643
65404,64409,644
65510,64344,643
65919,64701,647
65927,64506,645
66117,65111,651
66133,65308,653
66214,65413,654
66222,65421,654
66303,65502,655
67113,66118,661
67199,66193,661
70203,68102,681
70319,68218,682
70408,81125,811
71102,77110,771
71226,77195,771
71234,77195,771
71315,77314,773
71323,77322,773
71331,77331,773
72109,62040,620
72303,63119,631
72907,62091,620
73105,72100,721
73202,72207,722
74128,69206,692
74136,73203,732
74144,64620,646
74152,70107,701
74306,71201,712
74918,74200,742
74926,82920,829
75116,84116,841
75124,84124,841
75132,84132,841
75140,84116,841
75213,84213,842
75221,84221,842
75230,84230,842
75248,84248,842
75256,84256,842
75302,84302,843
80136,85112,851
80144,85121,851
80152,85139,851
80209,85201,852
80314,85317,853
80322,85325,853
80330,85333,853
80969,85414,854
80977,85422,854
85111,86101,861
85146,86402,864
85200,75001,750
91111,94111,941
91120,94120,941
91200,94201,942
91910,94910,949
91928,94928,949
92126,59138,591
92134,59146,591
92517,91015,910
92525,91023,910
92533,91031,910
93017,96017,960
93025,96025,960
93033,96033,960
95001,97005,970
99007,99008,990
