Seção,Nome Seção,Divisão,Nome Divisão,Grupo,Nome Grupo
C,INDÚSTRIAS DE TRANSFORMAÇÃO,13,FABRICAÇÃO DE PRODUTOS TÊXTEIS,135,"Fabricação de artefatos têxteis, exceto vestuário"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,14,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,141,Confecção de artigos do vestuário e acessórios
C,INDÚSTRIAS DE TRANSFORMAÇÃO,14,CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,142,Fabricação de artigos de malharia e tricotagem
C,INDÚSTRIAS DE TRANSFORMAÇÃO,15,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",151,Curtimento e outras preparações de couro
C,INDÚSTRIAS DE TRANSFORMAÇÃO,15,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",152,Fabricação de artigos para viagem e de artefatos diversos de couro
C,INDÚSTRIAS DE TRANSFORMAÇÃO,15,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",153,Fabricação de calçados
C,INDÚSTRIAS DE TRANSFORMAÇÃO,15,"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",154,"Fabricação de partes para calçados, de qualquer material"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,161,Desdobramento de madeira
C,INDÚSTRIAS DE TRANSFORMAÇÃO,16,FABRICAÇÃO DE PRODUTOS DE MADEIRA,162,"Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",171,Fabricação de celulose e outras pastas para a fabricação de papel
C,INDÚSTRIAS DE TRANSFORMAÇÃO,17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",172,"Fabricação de papel, cartolina e papel-cartão"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",173,"Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,17,"FABRICAÇÃO DE CELULOSE, PAPEL E PRODUTOS DE PAPEL",174,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,18,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,181,Atividade de impressão
C,INDÚSTRIAS DE TRANSFORMAÇÃO,18,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,182,Serviços de pré-impressão e acabamentos gráficos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,18,IMPRESSÃO E REPRODUÇÃO DE GRAVAÇÕES,183,Reprodução de materiais gravados em qualquer suporte
C,INDÚSTRIAS DE TRANSFORMAÇÃO,19,"FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",191,Coquerias
C,INDÚSTRIAS DE TRANSFORMAÇÃO,19,"FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",192,Fabricação de produtos derivados do petróleo
C,INDÚSTRIAS DE TRANSFORMAÇÃO,19,"FABRICAÇÃO DE COQUE, DE PRODUTOS DERIVADOS DO PETRÓLEO E DE BIOCOMBUSTÍVEIS",193,Fabricação de biocombustíveis
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,201,Fabricação de produtos químicos inorgânicos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,202,Fabricação de produtos químicos orgânicos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,203,Fabricação de resinas e elastômeros
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,204,Fabricação de fibras artificiais e sintéticas
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,205,Fabricação de defensivos agrícolas e desinfestantes domissanitários
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,206,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,207,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,20,FABRICAÇÃO DE PRODUTOS QUÍMICOS,209,Fabricação de produtos e preparados químicos diversos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,21,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS,211,Fabricação de produtos farmoquímicos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,21,FABRICAÇÃO DE PRODUTOS FARMOQUÍMICOS E FARMACÊUTICOS,212,Fabricação de produtos farmacêuticos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,22,FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,221,Fabricação de produtos de borracha
C,INDÚSTRIAS DE TRANSFORMAÇÃO,22,FABRICAÇÃO DE PRODUTOS DE BORRACHA E DE MATERIAL PLÁSTICO,222,Fabricação de produtos de material plástico
C,INDÚSTRIAS DE TRANSFORMAÇÃO,23,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,231,Fabricação de vidro e de produtos do vidro
C,INDÚSTRIAS DE TRANSFORMAÇÃO,23,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,232,Fabricação de cimento
C,INDÚSTRIAS DE TRANSFORMAÇÃO,23,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,233,"Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,23,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,234,Fabricação de produtos cerâmicos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,23,FABRICAÇÃO DE PRODUTOS DE MINERAIS NÃO-METÁLICOS,239,Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,24,METALURGIA,241,Produção de ferro-gusa e de ferroligas
C,INDÚSTRIAS DE TRANSFORMAÇÃO,24,METALURGIA,242,Siderurgia
C,INDÚSTRIAS DE TRANSFORMAÇÃO,24,METALURGIA,243,"Produção de tubos de aço, exceto tubos sem costura"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,24,METALURGIA,244,Metalurgia dos metais não-ferrosos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,24,METALURGIA,245,Fundição
C,INDÚSTRIAS DE TRANSFORMAÇÃO,25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",251,Fabricação de estruturas metálicas e obras de caldeiraria pesada
C,INDÚSTRIAS DE TRANSFORMAÇÃO,25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",252,"Fabricação de tanques, reservatórios metálicos e caldeiras"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",253,"Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",254,"Fabricação de artigos de cutelaria, de serralheria e ferramentas"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",255,"Fabricação de equipamento bélico pesado, armas e munições"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,25,"FABRICAÇÃO DE PRODUTOS DE METAL, EXCETO MÁQUINAS E EQUIPAMENTOS",259,Fabricação de produtos de metal não especificados anteriormente
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",261,Fabricação de componentes eletrônicos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",262,Fabricação de equipamentos de informática e periféricos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",263,Fabricação de equipamentos de comunicação
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",264,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",265,"Fabricação de aparelhos e instrumentos de medida, teste e controle; cronômetros e relógios"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",266,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",267,"Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,26,"FABRICAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA, PRODUTOS ELETRÔNICOS E ÓPTICOS",268,"Fabricação de mídias virgens, magnéticas e ópticas"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,27,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",271,"Fabricação de geradores, transformadores e motores elétricos"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,27,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",272,"Fabricação de pilhas, baterias e acumuladores elétricos"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,27,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",273,Fabricação de equipamentos para distribuição e controle de energia elétrica
C,INDÚSTRIAS DE TRANSFORMAÇÃO,27,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",274,Fabricação de lâmpadas e outros equipamentos de iluminação
C,INDÚSTRIAS DE TRANSFORMAÇÃO,27,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",275,Fabricação de eletrodomésticos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,27,"FABRICAÇÃO DE MÁQUINAS, APARELHOS E MATERIAIS ELÉTRICOS",279,Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente
C,INDÚSTRIAS DE TRANSFORMAÇÃO,28,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,281,"Fabricação de motores, bombas, compressores e equipamentos de transmissão"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,28,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,282,Fabricação de máquinas e equipamentos de uso geral
C,INDÚSTRIAS DE TRANSFORMAÇÃO,28,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,283,Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária
C,INDÚSTRIAS DE TRANSFORMAÇÃO,28,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,284,Fabricação de máquinas-ferramenta
C,INDÚSTRIAS DE TRANSFORMAÇÃO,28,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,285,Fabricação de máquinas e equipamentos de uso na extração mineral e na construção
C,INDÚSTRIAS DE TRANSFORMAÇÃO,28,FABRICAÇÃO DE MÁQUINAS E EQUIPAMENTOS,286,Fabricação de máquinas e equipamentos de uso industrial específico
C,INDÚSTRIAS DE TRANSFORMAÇÃO,29,"FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",291,"Fabricação de automóveis, camionetas e utilitários"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,29,"FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",292,Fabricação de caminhões e ônibus
C,INDÚSTRIAS DE TRANSFORMAÇÃO,29,"FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",293,"Fabricação de cabines, carrocerias e reboques para veículos automotores"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,29,"FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",294,Fabricação de peças e acessórios para veículos automotores
C,INDÚSTRIAS DE TRANSFORMAÇÃO,29,"FABRICAÇÃO DE VEÍCULOS AUTOMOTORES, REBOQUES E CARROCERIAS",295,Recondicionamento e recuperação de motores para veículos automotores
C,INDÚSTRIAS DE TRANSFORMAÇÃO,30,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",301,Construção de embarcações
C,INDÚSTRIAS DE TRANSFORMAÇÃO,30,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",303,Fabricação de veículos ferroviários
C,INDÚSTRIAS DE TRANSFORMAÇÃO,30,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",304,Fabricação de aeronaves
C,INDÚSTRIAS DE TRANSFORMAÇÃO,30,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",305,Fabricação de veículos militares de combate
C,INDÚSTRIAS DE TRANSFORMAÇÃO,30,"FABRICAÇÃO DE OUTROS EQUIPAMENTOS DE TRANSPORTE, EXCETO VEÍCULOS AUTOMOTORES",309,Fabricação de equipamentos de transporte não especificados anteriormente
C,INDÚSTRIAS DE TRANSFORMAÇÃO,31,FABRICAÇÃO DE MÓVEIS,310,Fabricação de móveis
C,INDÚSTRIAS DE TRANSFORMAÇÃO,32,FABRICAÇÃO DE PRODUTOS DIVERSOS,321,"Fabricação de artigos de joalheria, bijuteria e semelhantes"
C,INDÚSTRIAS DE TRANSFORMAÇÃO,32,FABRICAÇÃO DE PRODUTOS DIVERSOS,322,Fabricação de instrumentos musicais
C,INDÚSTRIAS DE TRANSFORMAÇÃO,32,FABRICAÇÃO DE PRODUTOS DIVERSOS,323,Fabricação de artefatos para pesca e esporte
C,INDÚSTRIAS DE TRANSFORMAÇÃO,32,FABRICAÇÃO DE PRODUTOS DIVERSOS,324,Fabricação de brinquedos e jogos recreativos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,32,FABRICAÇÃO DE PRODUTOS DIVERSOS,325,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,32,FABRICAÇÃO DE PRODUTOS DIVERSOS,329,Fabricação de produtos diversos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,33,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS",331,Manutenção e reparação de máquinas e equipamentos
C,INDÚSTRIAS DE TRANSFORMAÇÃO,33,"MANUTENÇÃO, REPARAÇÃO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS",332,Instalação de máquinas e equipamentos
D,ELETRICIDADE E GÁS,35,"ELETRICIDADE, GÁS E OUTRAS UTILIDADES",351,"Geração, transmissão e distribuição de energia elétrica"
D,ELETRICIDADE E GÁS,35,"ELETRICIDADE, GÁS E OUTRAS UTILIDADES",352,Produção e distribuição de combustíveis gasosos por redes urbanas
D,ELETRICIDADE E GÁS,35,"ELETRICIDADE, GÁS E OUTRAS UTILIDADES",353,"Produção e distribuição de vapor, água quente e ar condicionado"
E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",36,"CAPTAÇÃO, TRATAMENTO E DISTRIBUIÇÃO DE ÁGUA",360,"Captação, tratamento e distribuição de água"
E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",37,ESGOTO E ATIVIDADES RELACIONADAS,370,Esgoto e atividades relacionadas
E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",38,"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS",381,Coleta de resíduos
E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",38,"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS",382,Tratamento e disposição de resíduos
E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",38,"COLETA, TRATAMENTO E DISPOSIÇÃO DE RESÍDUOS; RECUPERAÇÃO DE MATERIAIS",383,Recuperação de materiais
E,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",39,DESCONTAMINAÇÃO E OUTROS SERVIÇOS DE GESTÃO DE RESÍDUOS,390,Descontaminação e outros serviços de gestão de resíduos
F,CONSTRUÇÃO,41,CONSTRUÇÃO DE EDIFÍCIOS,411,Incorporação de empreendimentos imobiliários
F,CONSTRUÇÃO,41,CONSTRUÇÃO DE EDIFÍCIOS,412,Construção de edifícios
F,CONSTRUÇÃO,42,OBRAS DE INFRA-ESTRUTURA,421,"Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais"
