Seção,Nome Seção,Divisão,Nome Divisão,Grupo,Nome Grupo
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",463,"Comércio atacadista especializado em produtos alimentícios, bebidas e fumo"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",464,Comércio atacadista de produtos de consumo não-alimentar
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",465,Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",466,"Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",467,"Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",468,Comércio atacadista especializado em outros produtos
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,46,"COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS",469,Comércio atacadista não-especializado
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,471,Comércio varejista não-especializado
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,472,"Comércio varejista de produtos alimentícios, bebidas e fumo"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,473,Comércio varejista de combustíveis para veículos automotores
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,474,Comércio varejista de material de construção
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,475,Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,476,"Comércio varejista de artigos culturais, recreativos e esportivos"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,477,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos"
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,478,Comércio varejista de produtos novos não especificados anteriormente e de produtos usados
G,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,47,COMÉRCIO VAREJISTA,479,Comércio ambulante e outros tipos de comércio varejista
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",49,TRANSPORTE TERRESTRE,491,Transporte ferroviário e metroferroviário
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",49,TRANSPORTE TERRESTRE,492,Transporte rodoviário de passageiros
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",49,TRANSPORTE TERRESTRE,493,Transporte rodoviário de carga
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",49,TRANSPORTE TERRESTRE,494,Transporte dutoviário
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",49,TRANSPORTE TERRESTRE,495,"Trens turísticos, teleféricos e similares"
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",50,TRANSPORTE AQUAVIÁRIO,501,Transporte marítimo de cabotagem e longo curso
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",50,TRANSPORTE AQUAVIÁRIO,502,Transporte por navegação interior
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",50,TRANSPORTE AQUAVIÁRIO,503,Navegação de apoio
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",50,TRANSPORTE AQUAVIÁRIO,509,Outros transportes aquaviários
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",51,TRANSPORTE AÉREO,511,Transporte aéreo de passageiros
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",51,TRANSPORTE AÉREO,512,Transporte aéreo de carga
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",51,TRANSPORTE AÉREO,513,Transporte espacial
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",52,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,521,"Armazenamento, carga e descarga"
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",52,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,522,Atividades auxiliares dos transportes terrestres
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",52,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,523,Atividades auxiliares dos transportes aquaviários
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",52,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,524,Atividades auxiliares dos transportes aéreos
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",52,ARMAZENAMENTO E ATIVIDADES AUXILIARES DOS TRANSPORTES,525,Atividades relacionadas à organização do transporte de carga
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",53,CORREIO E OUTRAS ATIVIDADES DE ENTREGA,531,Atividades de Correio
H,"TRANSPORTE, ARMAZENAGEM E CORREIO",53,CORREIO E OUTRAS ATIVIDADES DE ENTREGA,532,Atividades de malote e de entrega
I,ALOJAMENTO E ALIMENTAÇÃO,55,ALOJAMENTO,551,Hotéis e similares
I,ALOJAMENTO E ALIMENTAÇÃO,55,ALOJAMENTO,559,Outros tipos de alojamento não especificados anteriormente
I,ALOJAMENTO E ALIMENTAÇÃO,56,ALIMENTAÇÃO,561,Restaurantes e outros serviços de alimentação e bebidas
I,ALOJAMENTO E ALIMENTAÇÃO,56,ALIMENTAÇÃO,562,"Serviços de catering, bufê e outros serviços de comida preparada"
J,INFORMAÇÃO E COMUNICAÇÃO,58,EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO,581,"Edição de livros, jornais, revistas e outras atividades de edição"
J,INFORMAÇÃO E COMUNICAÇÃO,58,EDIÇÃO E EDIÇÃO INTEGRADA À IMPRESSÃO,582,"Edição integrada à impressão de livros, jornais, revistas e outras publicações"
J,INFORMAÇÃO E COMUNICAÇÃO,59,"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA",591,"Atividades cinematográficas, produção de vídeos e de programas de televisão"
J,INFORMAÇÃO E COMUNICAÇÃO,59,"ATIVIDADES CINEMATOGRÁFICAS, PRODUÇÃO DE VÍDEOS E DE PROGRAMAS DE TELEVISÃO; GRAVAÇÃO DE SOM E EDIÇÃO DE MÚSICA",592,Atividades de gravação de som e de edição de música
J,INFORMAÇÃO E COMUNICAÇÃO,60,ATIVIDADES DE RÁDIO E DE TELEVISÃO,601,Atividades de rádio
J,INFORMAÇÃO E COMUNICAÇÃO,60,ATIVIDADES DE RÁDIO E DE TELEVISÃO,602,Atividades de televisão
J,INFORMAÇÃO E COMUNICAÇÃO,61,TELECOMUNICAÇÕES,611,Telecomunicações por fio
J,INFORMAÇÃO E COMUNICAÇÃO,61,TELECOMUNICAÇÕES,612,Telecomunicações sem fio
J,INFORMAÇÃO E COMUNICAÇÃO,61,TELECOMUNICAÇÕES,613,Telecomunicações por satélite
J,INFORMAÇÃO E COMUNICAÇÃO,61,TELECOMUNICAÇÕES,614,Operadoras de televisão por assinatura
J,INFORMAÇÃO E COMUNICAÇÃO,61,TELECOMUNICAÇÕES,619,Outras atividades de telecomunicações
J,INFORMAÇÃO E COMUNICAÇÃO,62,ATIVIDADES DOS SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO,620,Atividades dos serviços de tecnologia da informação
J,INFORMAÇÃO E COMUNICAÇÃO,63,ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO,631,"Tratamento de dados, hospedagem na internet e outras atividades relacionadas"
J,INFORMAÇÃO E COMUNICAÇÃO,63,ATIVIDADES DE PRESTAÇÃO DE SERVIÇOS DE INFORMAÇÃO,639,Outras atividades de prestação de serviços de informação
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,641,Banco Central
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,642,Intermediação monetária - depósitos à vista
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,643,Intermediação não-monetária - outros instrumentos de captação
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,644,Arrendamento mercantil
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,645,Sociedades de capitalização
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,646,Atividades de sociedades de participação
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,647,Fundos de investimento
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",64,ATIVIDADES DE SERVIÇOS FINANCEIROS,649,Atividades de serviços financeiros não especificadas anteriormente
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",65,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",651,Seguros de vida e não-vida
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",65,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",652,Seguros-saúde
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",65,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",653,Resseguros
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",65,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",654,Previdência complementar
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",65,"SEGUROS, RESSEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",655,Planos de saúde
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",66,"ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",661,Atividades auxiliares dos serviços financeiros
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",66,"ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",662,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde"
K,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",66,"ATIVIDADES AUXILIARES DOS SERVIÇOS FINANCEIROS, SEGUROS, PREVIDÊNCIA COMPLEMENTAR E PLANOS DE SAÚDE",663,Atividades de administração de fundos por contrato ou comissão
L,ATIVIDADES IMOBILIÁRIAS,68,ATIVIDADES IMOBILIÁRIAS,681,Atividades imobiliárias de imóveis próprios
L,ATIVIDADES IMOBILIÁRIAS,68,ATIVIDADES IMOBILIÁRIAS,682,Atividades imobiliárias por contrato ou comissão
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",69,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",691,Atividades jurídicas
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",69,"ATIVIDADES JURÍDICAS, DE CONTABILIDADE E DE AUDITORIA",692,"Atividades de contabilidade, consultoria e auditoria contábil e tributária"
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",70,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,701,Sedes de empresas e unidades administrativas locais
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",70,ATIVIDADES DE SEDES DE EMPRESAS E DE CONSULTORIA EM GESTÃO EMPRESARIAL,702,Atividades de consultoria em gestão empresarial
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",71,SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS,711,Serviços de arquitetura e engenharia e atividades técnicas relacionadas
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",71,SERVIÇOS DE ARQUITETURA E ENGENHARIA; TESTES E ANÁLISES TÉCNICAS,712,Testes e análises técnicas
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",72,PESQUISA E DESENVOLVIMENTO CIENTÍFICO,721,Pesquisa e desenvolvimento experimental em ciências físicas e naturais
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",72,PESQUISA E DESENVOLVIMENTO CIENTÍFICO,722,Pesquisa e desenvolvimento experimental em ciências sociais e humanas
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",73,PUBLICIDADE E PESQUISA DE MERCADO,731,Publicidade
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",73,PUBLICIDADE E PESQUISA DE MERCADO,732,Pesquisas de mercado e de opinião pública
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",74,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",741,Design e decoração de interiores
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",74,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",742,Atividades fotográficas e similares
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",74,"OUTRAS ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",749,"Atividades profissionais, científicas e técnicas não especificadas anteriormente"
M,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",75,ATIVIDADES VETERINÁRIAS,750,Atividades veterinárias
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,77,ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,771,Locação de meios de transporte sem condutor
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,77,ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,772,Aluguel de objetos pessoais e domésticos
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,77,ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,773,Aluguel de máquinas e equipamentos sem operador
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,77,ALUGUÉIS NÃO-IMOBILIÁRIOS E GESTÃO DE ATIVOS INTANGÍVEIS NÃO-FINANCEIROS,774,Gestão de ativos intangíveis não-financeiros
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,78,"SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA",781,Seleção e agenciamento de mão-de-obra
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,78,"SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA",782,Locação de mão-de-obra temporária
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,78,"SELEÇÃO, AGENCIAMENTO E LOCAÇÃO DE MÃO-DE-OBRA",783,Fornecimento e gestão de recursos humanos para terceiros
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,79,"AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS",791,Agências de viagens e operadores turísticos
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,79,"AGÊNCIAS DE VIAGENS, OPERADORES TURÍSTICOS E SERVIÇOS DE RESERVAS",799,Serviços de reservas e outros serviços de turismo não especificados anteriormente
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,80,"ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO",801,"Atividades de vigilância, segurança privada e transporte de valores"
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,80,"ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO",802,Atividades de monitoramento de sistemas de segurança
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,80,"ATIVIDADES DE VIGILÂNCIA, SEGURANÇA E INVESTIGAÇÃO",803,Atividades de investigação particular
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,81,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,811,Serviços combinados para apoio a edifícios
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,81,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,812,Atividades de limpeza
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,81,SERVIÇOS PARA EDIFÍCIOS E ATIVIDADES PAISAGÍSTICAS,813,Atividades paisagísticas
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",821,Serviços de escritório e apoio administrativo
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",822,Atividades de teleatendimento
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",823,"Atividades de organização de eventos, exceto culturais e esportivos"
N,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,82,"SERVIÇOS DE ESCRITÓRIO, DE APOIO ADMINISTRATIVO E OUTROS SERVIÇOS PRESTADOS PRINCIPALMENTE ÀS EMPRESAS",829,Outras atividades de serviços prestados principalmente às empresas
O,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",84,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",841,Administração do estado e da política econômica e social
O,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",84,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",842,Serviços coletivos prestados pela administração pública
O,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",84,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",843,Seguridade social obrigatória
P,EDUCAÇÃO,85,EDUCAÇÃO,851,Educação infantil e ensino fundamental
P,EDUCAÇÃO,85,EDUCAÇÃO,852,Ensino médio
P,EDUCAÇÃO,85,EDUCAÇÃO,853,Educação superior
P,EDUCAÇÃO,85,EDUCAÇÃO,854,Educação profissional de nível técnico e tecnológico
P,EDUCAÇÃO,85,EDUCAÇÃO,855,Atividades de apoio à educação
P,EDUCAÇÃO,85,EDUCAÇÃO,859,Outras atividades de ensino
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,861,Atividades de atendimento hospitalar
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,862,Serviços móveis de atendimento a urgências e de remoção de pacientes
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,863,Atividades de atenção ambulatorial executadas por médicos e odontólogos
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,864,Atividades de serviços de complementação diagnóstica e terapêutica
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,865,"Atividades de profissionais da área de saúde, exceto médicos e odontólogos"
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,866,Atividades de apoio à gestão de saúde
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,86,ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA,869,Atividades de atenção à saúde humana não especificadas anteriormente
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,87,"ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES",871,"Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infra-estrutura e apoio a pacientes prestadas em residências coletivas e particulares"
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,87,"ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES",872,"Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química"
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,87,"ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA INTEGRADAS COM ASSISTÊNCIA SOCIAL, PRESTADAS EM RESIDÊNCIAS COLETIVAS E PARTICULARES",873,Atividades de assistência social prestadas em residências coletivas e particulares
Q,SAÚDE HUMANA E SERVIÇOS SOCIAIS,88,SERVIÇOS DE ASSISTÊNCIA SOCIAL SEM ALOJAMENTO,880,Serviços de assistência social sem alojamento
R,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",90,"ATIVIDADES ARTÍSTICAS, CRIATIVAS E DE ESPETÁCULOS",900,"Atividades artísticas, criativas e de espetáculos"
R,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",91,ATIVIDADES LIGADAS AO PATRIMÔNIO CULTURAL E AMBIENTAL,910,Atividades ligadas ao patrimônio cultural e ambiental
R,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",92,ATIVIDADES DE EXPLORAÇÃO DE JOGOS DE AZAR E APOSTAS,920,Atividades de exploração de jogos de azar e apostas
R,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",93,ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER,931,Atividades esportivas
R,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",93,ATIVIDADES ESPORTIVAS E DE RECREAÇÃO E LAZER,932,Atividades de recreação e lazer
S,OUTRAS ATIVIDADES DE SERVIÇOS,94,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,941,"Atividades de organizações associativas patronais, empresariais e profissionais"
S,OUTRAS ATIVIDADES DE SERVIÇOS,94,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,942,Atividades de organizações sindicais
S,OUTRAS ATIVIDADES DE SERVIÇOS,94,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,943,Atividades de associações de defesa de direitos sociais
S,OUTRAS ATIVIDADES DE SERVIÇOS,94,ATIVIDADES DE ORGANIZAÇÕES ASSOCIATIVAS,949,Atividades de organizações associativas não especificadas anteriormente
S,OUTRAS ATIVIDADES DE SERVIÇOS,95,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS,951,Reparação e manutenção de equipamentos de informática e comunicação
S,OUTRAS ATIVIDADES DE SERVIÇOS,95,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS DE INFORMÁTICA E COMUNICAÇÃO E DE OBJETOS PESSOAIS E DOMÉSTICOS,952,Reparação e manutenção de objetos e equipamentos pessoais e domésticos
S,OUTRAS ATIVIDADES DE SERVIÇOS,96,OUTRAS ATIVIDADES DE SERVIÇOS PESSOAIS,960,Outras atividades de serviços pessoais
T,SERVIÇOS DOMÉSTICOS,97,SERVIÇOS DOMÉSTICOS,970,Serviços domésticos
U,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,99,ORGANISMOS INTERNACIONAIS E OUTRAS INSTITUIÇÕES EXTRATERRITORIAIS,990,Organismos internacionais e outras instituições extraterritoriais
